ORIGIN_AIRPORT,DESTINATION_AIRPORT,flight_count,event_count,mean_departure_delay
IAH,DEN,4885,1265,17.365813715455477
DFW,SFO,4871,1242,16.040238144118252
SFO,DFW,4871,909,11.94805994662287
IAH,LAX,4803,1630,22.21090984801166
BOS,EWR,4799,972,12.41591998332986
EWR,BOS,4788,1079,12.094611528822055
ORD,PHX,4787,1008,12.426571965740548
PHX,ORD,4786,830,12.05871291266193
LAX,SAN,4775,869,7.735078534031413
SAN,LAX,4774,764,5.523041474654378
DFW,LGA,4774,1053,10.970883954754923
LGA,DFW,4757,805,8.902879966365356
ORD,MCO,4752,1193,15.360058922558922
MCO,ORD,4745,1035,14.812012644889357
BOS,BWI,4741,845,9.430710820502004
BWI,BOS,4726,1065,11.893779094371562
JFK,FLL,4675,1080,15.445775401069518
FLL,JFK,4667,1198,17.73944718234412
IAH,ORD,4662,1277,18.064135564135565
ORD,LAS,4651,1384,17.434315201032035
LGA,DTW,4630,1001,12.817494600431965
LAS,ORD,4625,843,10.707459459459459
DTW,LGA,4618,1029,13.33152880034647
DFW,LAS,4602,1000,11.449587136027814
LAX,IAH,4593,1042,13.706292183757892
LAS,DFW,4582,732,10.043430816237452
SAN,DEN,4576,820,7.834571678321678
ORD,IAH,4557,1365,19.89905639675225
SFO,PDX,4553,790,8.887107401713155
PDX,SFO,4532,830,9.112091791703442
ORD,DTW,4529,947,13.000220799293443
LAS,ATL,4523,639,8.021888127349104
ATL,LAS,4508,896,11.63287488908607
DTW,ORD,4484,844,12.453389830508474
ORD,MIA,4483,971,14.940218603613651
MIA,ORD,4476,986,12.26899016979446
PHX,DFW,4453,633,7.662025600718617
DFW,PHX,4451,748,9.665468434059761
LAX,BOS,4423,670,6.751526113497626
LAS,SAN,4422,988,11.251469923111713
BOS,LAX,4421,692,7.852069667496042
SAN,LAS,4413,958,10.143213233627918
HOU,ATL,4399,815,9.942714253239373
ATL,HOU,4394,786,9.994538006372325
EWR,CLT,4384,600,6.077326642335766
PHX,MSP,4383,651,6.835500798539813
CLT,EWR,4376,932,12.262797074954296
MSP,PHX,4374,541,5.725651577503429
DCA,LGA,4357,816,7.592609593757173
LGA,DCA,4350,751,6.327126436781609
CLT,DFW,4336,709,8.870848708487085
DFW,CLT,4323,650,6.842470506592644
IAH,ATL,4301,845,12.408742152987678
DEN,SAN,4291,864,10.257981822419017
SEA,ORD,4284,635,7.8655462184873945
ORD,SEA,4266,971,12.796999531176747
DFW,IAH,4238,819,11.00825861255309
BWI,FLL,4232,1046,14.590264650283554
FLL,BWI,4224,768,9.849431818181818
SFO,BOS,4209,921,13.290567830838679
ORD,EWR,4203,1280,22.064715679276706
BOS,SFO,4196,1008,14.779075309818875
IAH,DFW,4190,812,12.055131264916469
ATL,IAH,4180,820,12.325598086124401
MCO,LGA,4175,952,15.322395209580838
LGA,MCO,4163,896,13.17343262070622
LAS,SLC,4087,710,8.49155860044042
DFW,MCO,4077,798,10.278636252146185
SLC,LAS,4073,577,6.363123005155905
MCO,DFW,4070,724,10.84987714987715
EWR,ORD,4052,1065,18.62166831194472
JFK,LAS,4014,675,9.597907324364723
LAS,JFK,4007,790,12.930870975792363
ATL,PHX,3974,557,6.481127327629593
PHX,ATL,3967,513,5.588858079153012
MIA,DFW,3964,977,14.599646821392533
DFW,MIA,3963,944,15.342417360585415
LGA,CLT,3915,543,7.0962962962962965
PHL,DFW,3867,688,10.931988621670545
DFW,PHL,3864,813,11.476966873706004
JFK,MIA,3860,792,13.4
MIA,JFK,3860,1085,18.838860103626942
CLT,LGA,3846,776,11.544721788871556
CLT,BOS,3843,702,8.822534478272184
BOS,CLT,3836,558,5.729144942648592
SEA,SLC,3816,495,5.020702306079665
CLT,IAH,3815,659,10.78007863695937
SLC,SEA,3810,396,2.9435695538057742
DFW,SEA,3802,711,9.051551814834298
SEA,DFW,3799,522,7.19478810213214
DEN,PDX,3795,840,12.003162055335968
PDX,DEN,3772,511,6.884676564156946
IAH,SFO,3742,1205,22.122661678246928
SFO,IAH,3722,814,13.919666845781837
DTW,BOS,3704,548,6.790766738660907
PDX,LAX,3702,453,4.193949216639655
LAX,PDX,3700,469,3.809189189189189
BOS,DTW,3697,559,9.239383283743576
CLT,PHL,3676,660,8.991294885745376
IAH,CLT,3673,493,5.863326980669752
CLT,BWI,3660,640,8.482786885245902
EWR,FLL,3659,884,14.993167532112599
FLL,EWR,3649,840,13.408605097286928
BWI,CLT,3642,500,5.728445908841296
DCA,MCO,3619,534,7.340978170765405
MCO,DCA,3616,533,6.946073008849558
EWR,IAH,3596,994,17.552558398220246
SAN,DFW,3546,450,8.091088550479414
DFW,SAN,3546,721,11.446700507614214
PHX,IAH,3543,553,7.504092576912221
IAH,PHX,3541,680,11.12369387178763
DEN,LGA,3528,948,16.647959183673468
SFO,SLC,3526,703,10.625354509359047
LGA,DEN,3506,796,15.001426126640046
IAH,EWR,3470,1061,20.629106628242074
SEA,SAN,3450,457,4.878550724637681
SAN,SEA,3446,423,2.8177597214161345
SFO,ATL,3410,449,6.494721407624634
ATL,SFO,3408,685,10.772887323943662
CLT,DTW,3398,381,4.37110064743967
DFW,DCA,3393,583,8.530209254347186
DCA,DFW,3392,545,10.21757075471698
DTW,CLT,3386,403,4.770230360307147
PHX,PDX,3376,625,7.712085308056872
PDX,PHX,3369,358,3.4081329771445534
PHL,CLT,3364,540,7.10731272294887
MSP,LAX,3363,497,7.27505203687184
LAX,MSP,3363,630,9.43800178412132
BOS,DFW,3313,426,6.010262601871416
DFW,BOS,3308,649,10.910519951632406
MIA,MCO,3299,749,12.149742346165505
MCO,MIA,3294,489,9.321190042501518
LAX,MIA,3290,450,6.478419452887538
MIA,LAX,3290,797,15.053799392097265
MCO,BWI,3285,646,10.931202435312024
BWI,MCO,3284,837,14.89646772228989
CLT,MIA,3236,538,9.136897404202719
MIA,CLT,3221,429,5.077615647314499
MSP,MDW,3220,570,9.59223602484472
CLT,MCO,3214,564,8.904480398257624
MCO,CLT,3207,438,6.189897100093545
MIA,DCA,3205,686,10.482995319812792
DCA,MIA,3203,549,10.275991258195441
DTW,LAS,3195,557,9.163067292644758
SLC,SFO,3191,731,12.801942964587903
LAS,DTW,3191,486,7.748041366342839
SLC,DFW,3191,415,6.855531181447822
DFW,SLC,3184,616,10.442211055276381
MDW,MSP,3167,707,11.843700663088097
DEN,MCO,3159,584,9.741373852484964
TPA,CLT,3136,338,4.004783163265306
DAL,ATL,3132,580,9.688058748403575
MCO,DEN,3128,641,13.542838874680307
IAH,MIA,3117,605,10.925248636509464
MIA,IAH,3111,659,12.116682738669239
ATL,DAL,3110,520,8.595498392282957
CLT,TPA,3104,423,6.569909793814433
CLT,PHX,3082,504,8.114211550940947
BOS,MCO,3040,556,10.142105263157895
PHX,CLT,3038,355,4.578670177748519
LAS,IAH,3034,571,10.18259723137772
MCO,BOS,3026,683,13.52412425644415
IAH,LAS,3017,822,16.68379184620484
DCA,MDW,3001,462,8.064311896034654
MDW,DCA,2994,619,9.634936539746159
MDW,DTW,2992,592,11.390374331550802
DTW,MDW,2990,540,10.52675585284281
MDW,LAS,2984,686,13.144436997319035
LAS,MDW,2964,630,11.609986504723347
PHX,DTW,2947,437,7.106549032914828
DTW,DEN,2945,511,9.221392190152802
SEA,ATL,2940,408,6.848979591836735
ATL,SEA,2939,429,7.958829533855052
DTW,PHX,2938,338,6.138189244383935
DEN,DTW,2932,641,12.655184174624829
EWR,MIA,2913,612,12.119464469618949
ORD,SAN,2911,721,15.067330814153213
MDW,DEN,2911,692,12.518035039505325
DEN,MDW,2908,641,12.32462173314993
FLL,DFW,2906,395,6.611149346180317
SAN,ORD,2905,397,7.046127366609294
MIA,EWR,2901,726,14.290589451913133
DFW,FLL,2895,631,11.291882556131261
MSP,DTW,2894,371,6.502073255010366
DTW,MSP,2893,439,8.526097476667818
DCA,TPA,2893,459,7.565157276183892
TPA,DCA,2893,382,5.3328724507431735
DTW,MCO,2871,377,5.529780564263323
MCO,DTW,2869,426,7.871732310909724
FLL,DTW,2864,387,7.072625698324022
DTW,FLL,2863,439,8.41075794621027
EWR,DEN,2861,799,17.264942327857394
DFW,DTW,2853,616,12.78689099193831
MCO,IAH,2851,678,16.417748158540864
DTW,DFW,2848,472,10.813904494382022
PHL,MIA,2845,548,11.396133567662567
MIA,PHL,2842,643,12.882477128782547
IAH,MCO,2842,741,18.3036593947924
SLC,ORD,2840,577,12.764788732394367
LAS,PDX,2822,500,6.550318922749823
SEA,MSP,2815,321,5.91829484902309
MSP,SEA,2812,310,5.014935988620199
DEN,EWR,2812,832,18.787339971550498
PDX,LAS,2799,405,4.72454448017149
MSP,LAS,2797,434,7.233821952091526
LAS,MSP,2794,406,6.65748031496063
DFW,MSP,2793,575,10.707124955245256
SLC,ATL,2787,260,5.253677789738069
MSP,DFW,2784,494,10.87823275862069
ATL,SLC,2783,385,7.29500538986705
ORD,SLC,2779,675,16.784094998200793
EWR,DFW,2753,519,10.992371957864147
CLT,JFK,2742,643,14.082421590080234
JFK,CLT,2739,493,11.041621029572838
MDW,MCO,2726,542,9.495597945707997
DAL,LGA,2719,696,15.536594336152998
MCO,MDW,2714,502,10.48268238761975
DCA,CLT,2706,337,4.344789356984479
DAL,LAX,2702,624,12.197631384159882
LGA,DAL,2702,525,10.92079940784604
DFW,TPA,2699,515,10.2726935902186
LAX,DAL,2697,580,11.461253244345569
ORD,BWI,2696,716,16.864985163204746
SFO,MSP,2695,371,6.017810760667904
TPA,DFW,2695,426,9.499814471243043
MSP,SFO,2691,516,9.981047937569677
CLT,DCA,2672,403,7.1706586826347305
FLL,ORD,2670,500,11.265543071161048
BWI,ORD,2668,534,13.152173913043478
DAL,DCA,2665,518,10.021763602251408
ORD,FLL,2661,634,15.304772641863961
DFW,EWR,2660,666,15.623684210526315
DCA,DAL,2658,314,5.341986455981941
JFK,TPA,2657,559,13.618742943168987
DCA,FLL,2657,374,5.892736168611216
FLL,DCA,2654,516,8.577618688771665
TPA,JFK,2651,674,17.851754055073556
PHX,PHL,2650,400,7.918490566037736
CLT,FLL,2641,395,7.068913290420295
FLL,CLT,2632,264,3.006838905775076
BWI,DTW,2620,458,10.07557251908397
DTW,BWI,2617,371,7.6511272449369505
ORD,TPA,2615,700,18.188910133843212
PHL,PHX,2607,423,8.787878787878787
TPA,ORD,2605,473,11.095585412667946
MCO,LAX,2604,496,12.249615975422428
LAX,MCO,2603,394,8.117172493276987
DEN,BOS,2603,657,15.012677679600461
MSP,PHL,2599,392,6.525586764140054
PHL,MSP,2598,412,7.769438029253272
BOS,DEN,2592,593,12.996141975308642
PHL,TPA,2578,415,9.12800620636152
SLC,PDX,2573,258,2.31441896618733
PDX,SLC,2573,255,2.455888068402643
TPA,PHL,2533,483,10.835767864192658
PHX,JFK,2505,514,12.247904191616767
JFK,PHX,2498,493,11.322658126501201
IAH,LGA,2488,778,20.886254019292604
MIA,BOS,2481,631,14.143490528012897
BOS,MIA,2478,351,8.138418079096045
SLC,SAN,2466,245,2.5263584752635846
SAN,SLC,2463,200,1.2492894843686562
LGA,IAH,2443,461,14.054850593532542
PHX,MDW,2440,453,10.062295081967212
MDW,PHX,2436,538,11.97208538587849
PDX,ORD,2376,344,8.142676767676768
PHL,IAH,2368,490,12.946368243243244
IAH,SEA,2366,590,14.672442941673712
IAH,PHL,2358,544,14.533502968617473
SEA,IAH,2357,340,8.295290623674163
ORD,PDX,2355,587,15.456050955414012
TPA,BWI,2337,393,9.088575096277278
BWI,TPA,2329,549,12.869042507513955
PHL,DEN,2328,411,10.521907216494846
CLT,MSP,2325,368,8.093763440860215
LGA,MDW,2323,623,17.15841584158416
MSP,CLT,2321,227,3.1977595863851787
PHL,LAS,2318,433,10.758412424503883
JFK,SEA,2315,540,14.043196544276459
SEA,JFK,2315,513,12.682505399568035
LAS,PHL,2313,408,9.092952875054042
DEN,PHL,2312,463,10.804930795847751
MSP,LGA,2310,412,9.414285714285715
LGA,MSP,2306,439,13.295316565481354
FLL,BOS,2305,592,14.26594360086768
BOS,FLL,2304,571,13.715277777777779
MDW,LGA,2290,669,18.89475982532751
PHX,EWR,2286,432,11.623797025371829
SFO,PHL,2284,388,7.445709281961471
EWR,PHX,2274,532,14.060246262093228
EWR,TPA,2271,628,16.557904007045355
PHL,SFO,2265,440,12.58719646799117
DTW,TPA,2265,380,9.452980132450332
TPA,DTW,2265,306,8.326269315673288
TPA,EWR,2258,509,14.37865367581931
HOU,MDW,2247,456,11.362260792167334
MDW,HOU,2235,529,12.844742729306487
ATL,SAN,2226,303,7.620844564240791
SAN,ATL,2222,153,1.7808280828082808
DTW,EWR,2205,472,13.542857142857143
IAH,SLC,2197,438,10.88984979517524
IAH,DCA,2190,508,14.140182648401826
DCA,IAH,2190,394,10.676712328767124
IAH,SAN,2189,572,15.001827318410234
EWR,DTW,2182,353,10.832722273143904
DTW,LAX,2177,397,10.80799265043638
MIA,TPA,2175,443,9.43264367816092
LAX,DTW,2175,474,12.695632183908046
TPA,MIA,2173,292,7.210768522779567
DTW,IAH,2169,409,11.816044260027663
MDW,DAL,2159,459,10.684576192681797
SLC,IAH,2158,356,8.163577386468953
DAL,MDW,2149,468,12.486272684969753
PHL,DTW,2147,316,8.747088961341406
DTW,PHL,2137,383,10.631726719700515
CLT,LAX,2135,378,8.379391100702577
LAX,CLT,2131,343,6.638198029094322
MDW,BWI,2113,481,12.99006152389967
IAH,DTW,2105,477,15.068883610451307
BWI,MDW,2104,491,12.882604562737642
DEN,CLT,2096,285,5.371660305343512
CLT,DEN,2094,312,7.837631327602674
FLL,TPA,2087,422,10.279827503593674
JFK,ATL,2077,550,16.737120847376023
TPA,LGA,2076,483,15.946531791907514
ATL,JFK,2075,511,16.833734939759037
DTW,SEA,2072,271,6.426640926640927
SEA,DTW,2071,247,4.654273297923709
LGA,TPA,2069,451,14.237796036732721
BWI,DEN,2063,534,13.704798836645661
DEN,BWI,2059,528,14.55560951918407
TPA,FLL,2058,362,8.510689990281827
LAX,PHL,2043,285,4.780225159079785
PHL,LAX,2043,347,8.684777288301518
LAX,MDW,2022,523,13.493570722057369
IAH,FLL,2021,459,14.96338446313706
FLL,IAH,2020,298,6.813861386138614
SEA,PDX,2014,345,7.318272095332671
MDW,LAX,2014,524,14.242800397219463
PDX,SEA,2006,228,3.439680957128614
FLL,PHL,2006,348,8.058823529411764
SLC,MSP,2001,172,3.096951524237881
PHL,FLL,2001,369,9.549225387306347
PHL,MDW,1998,404,11.963963963963964
MSP,SLC,1996,201,3.6072144288577155
CLT,SFO,1988,377,10.529175050301811
SFO,CLT,1986,172,1.8187311178247734
MDW,PHL,1986,552,15.488418932527694
JFK,SLC,1977,413,12.489630753667173
SLC,JFK,1974,399,12.211752786220872
DFW,PDX,1966,366,9.17090539165819
PDX,DFW,1965,262,9.423918575063613
BOS,MSP,1957,303,8.831885539090445
MSP,BOS,1956,267,5.912576687116564
HOU,DEN,1930,367,10.277720207253886
DEN,HOU,1923,413,10.639105564222568
TPA,IAH,1900,358,10.932631578947369
DFW,BWI,1894,426,12.239176346356917
FLL,LAX,1894,489,13.802006335797255
IAH,TPA,1891,509,15.842411422527762
BWI,DFW,1889,381,14.168872419269455
LAX,FLL,1889,534,15.942826892535733
EWR,MDW,1883,393,13.440254912373872
LAS,EWR,1882,296,9.930393198724762
EWR,LAS,1873,480,17.652429257875067
MDW,EWR,1864,543,18.37070815450644
JFK,SAN,1863,367,10.559312936124531
MSP,IAH,1861,401,12.845781837721654
SAN,JFK,1861,320,11.508328855454057
BWI,LAS,1853,463,14.803022126281705
LAS,BWI,1852,423,13.106371490280777
DCA,DTW,1851,266,8.487844408427877
DTW,DCA,1845,278,8.30569105691057
SAN,IAH,1833,233,8.398254228041463
MSP,DCA,1817,217,5.598238855255916
DCA,MSP,1816,254,7.779185022026431
SAN,PDX,1814,202,3.2001102535832415
PDX,SAN,1812,213,3.661699779249448
IAH,BOS,1794,467,16.705685618729095
BOS,IAH,1793,379,13.029559397657557
IAH,MSP,1742,304,9.163030998851895
DEN,TPA,1732,404,12.465357967667437
TPA,DEN,1728,268,7.966435185185185
PHX,BWI,1724,294,9.308584686774942
BWI,PHX,1719,328,12.219895287958115
ORD,JFK,1714,530,22.203617269544925
JFK,ORD,1712,375,14.410630841121495
CLT,LAS,1691,274,7.056771141336487
LAS,CLT,1685,134,1.656379821958457
MSP,MCO,1680,183,6.154761904761905
MCO,MSP,1678,201,5.6388557806913
LAX,HOU,1663,456,14.128081779915815
HOU,LAX,1657,397,12.496680748340374
DFW,HOU,1642,350,11.398294762484774
HOU,DFW,1633,290,11.932639314145744
DAL,DEN,1631,363,12.50337216431637
SEA,EWR,1620,322,11.056172839506173
DEN,DAL,1612,341,10.48697270471464
DAL,PHX,1602,336,11.498751560549314
PHX,DAL,1596,410,13.319548872180452
SEA,BOS,1595,353,10.631347962382446
EWR,SEA,1595,331,12.092789968652038
BOS,SEA,1595,279,8.6858934169279
LAS,DAL,1551,398,12.840103159252095
DAL,LAS,1546,287,9.763906856403622
PHX,BOS,1534,306,10.14993481095176
BOS,PHX,1534,283,9.561277705345502
HOU,LAS,1534,234,8.872229465449804
TPA,MDW,1533,296,11.555772994129159
MCO,HOU,1533,233,7.744292237442922
MIA,LAS,1523,253,8.097833223900198
LAS,MIA,1521,154,5.516107823800131
MDW,TPA,1517,330,11.475280158206987
DCA,EWR,1513,308,10.498347653668208
SLC,DTW,1512,145,4.085978835978836
LAS,HOU,1511,315,10.297154202514891
DTW,SLC,1510,206,6.35364238410596
EWR,DCA,1509,336,12.126573889993374
BOS,MDW,1508,328,12.869363395225465
PHX,HOU,1508,379,12.391909814323608
HOU,MCO,1508,432,15.507957559681698
HOU,PHX,1500,276,10.778
MDW,BOS,1499,378,14.915276851234156
SFO,DAL,1458,267,9.902606310013718
DAL,SFO,1454,394,17.376203576341126
SFO,DTW,1451,134,4.169538249483115
DTW,SFO,1451,237,10.49896623018608
DEN,DCA,1428,211,7.429271708683474
MIA,DEN,1421,397,16.74384236453202
DCA,DEN,1420,237,8.215492957746479
DEN,MIA,1420,284,10.966901408450704
MSP,PDX,1409,171,5.589070262597587
PDX,MSP,1407,80,1.840085287846482
MCO,PHX,1383,226,7.601590744757773
MSP,EWR,1381,295,12.511223750905142
PHX,MCO,1381,233,8.900796524257784
FLL,SFO,1365,303,11.754578754578755
SFO,FLL,1363,344,15.691856199559794
SLC,MCO,1355,244,7.188929889298893
MCO,SLC,1355,232,7.255350553505535
EWR,MSP,1337,230,9.516080777860882
DCA,HOU,1335,152,3.8779026217228463
HOU,DCA,1330,243,8.854135338345865
MDW,SAN,1295,364,13.756756756756756
SAN,MDW,1283,204,8.158222915042868
DEN,FLL,1276,234,8.99921630094044
FLL,DEN,1272,233,10.187893081761006
DTW,MIA,1271,154,8.595594020456334
MIA,DTW,1269,206,8.42080378250591
LAX,BWI,1264,277,10.927215189873417
BWI,LAX,1253,345,16.964086193136474
MDW,FLL,1209,275,13.079404466501241
FLL,MDW,1207,245,11.449875724937863
DAL,BWI,1194,273,12.674204355108877
BWI,DAL,1193,352,15.616093880972338
BOS,TPA,1192,220,9.833892617449665
TPA,BOS,1189,311,13.743481917577796
PDX,ATL,1175,113,4.466382978723404
ATL,PDX,1173,179,8.805626598465473
MIA,BWI,1167,240,10.922879177377892
BWI,MIA,1166,160,8.245283018867925
FLL,LAS,1156,180,6.6842560553633215
MSP,SAN,1155,130,4.621645021645022
SAN,MSP,1152,59,3.71875
LAS,FLL,1151,309,14.986099044309297
BWI,MSP,1147,181,10.733217088055797
MSP,BWI,1142,180,8.639229422066549
BWI,HOU,1139,296,14.631255487269534
MSP,TPA,1127,117,4.096716947648624
TPA,MSP,1124,143,6.174377224199288
BOS,LAS,1124,294,13.994661921708184
LAS,BOS,1123,323,15.472840605520926
HOU,BWI,1117,231,11.768128916741272
SFO,MIA,1112,188,12.065647482014388
MDW,SEA,1112,333,16.33363309352518
MIA,SFO,1111,250,13.509450945094509
SEA,MDW,1111,163,9.108010801080107
MCO,DAL,1106,166,7.77757685352622
DAL,MCO,1101,224,11.29700272479564
BWI,IAH,1099,281,15.955414012738853
IAH,BWI,1087,274,14.606255749770009
LAX,DCA,1086,117,4.0911602209944755
DCA,LAX,1085,117,4.329953917050691
SLC,BWI,1077,126,5.768802228412256
BWI,SLC,1076,204,9.83271375464684
PHX,TPA,1065,166,7.870422535211268
EWR,SAN,1063,310,16.520225776105363
DCA,PHX,1059,169,7.3210576015108595
TPA,PHX,1059,160,6.951841359773371
PHX,DCA,1058,183,8.965973534971644
SAN,EWR,1057,201,11.279091769157993
HOU,TPA,1053,298,15.094017094017094
TPA,HOU,1046,213,12.260038240917781
PHL,SEA,1043,182,7.386385426653883
MCO,LAS,1040,190,7.9423076923076925
SEA,PHL,1040,152,7.704807692307693
SAN,BOS,1039,145,6.346487006737247
BOS,SAN,1039,150,7.282001924927815
LAS,MCO,1036,270,12.533783783783784
HOU,LGA,996,309,17.72991967871486
LGA,HOU,975,225,16.58871794871795
BOS,HOU,968,171,10.327479338842975
HOU,BOS,968,279,16.59194214876033
JFK,MSP,958,190,11.892484342379959
FLL,DAL,947,165,8.99260823653643
DAL,FLL,944,228,12.352754237288135
MSP,JFK,935,136,8.390374331550802
JFK,DCA,927,217,12.812297734627832
EWR,HOU,923,189,14.37919826652221
HOU,EWR,921,263,19.917480998914225
DCA,JFK,913,275,22.290251916757942
JFK,PDX,913,273,19.008762322015333
PDX,JFK,912,158,9.572368421052632
MSP,MIA,900,87,4.596666666666667
MIA,MSP,900,213,12.995555555555555
CLT,SEA,897,133,6.468227424749164
DEN,JFK,894,195,13.478747203579418
JFK,DEN,891,224,15.017957351290685
SEA,CLT,891,132,7.741863075196409
SLC,MDW,860,121,6.518604651162791
MCO,SFO,856,189,13.410046728971963
SFO,MCO,854,201,14.340749414519907
MDW,SLC,852,219,13.0
SFO,MDW,850,145,8.94
PHL,SAN,846,121,6.273049645390071
MDW,SFO,844,225,15.183649289099526
